MUNICIPIO;CIDADE;COD_UF;UF;ESTADO;REGIAO;BAIRRO;LATITUDE;LONGITUDE
1100015;ALTA FLORESTA D'OESTE;11;RO;RONDÔNIA;NORTE;POSTO FISCAL ROLIM DE MOURA;-13.08271;-62.27726
1100015;ALTA FLORESTA D'OESTE;11;RO;RONDÔNIA;NORTE;ALTA FLORESTA D'OESTE;-11.96806;-61.95417
1100015;ALTA FLORESTA D'OESTE;11;RO;RONDÔNIA;NORTE;CLIZA;-12.61667;-62.06667
1100015;ALTA FLORESTA D'OESTE;11;RO;RONDÔNIA;NORTE;URUROSES;-12.86667;-62.2
1100015;ALTA FLORESTA D'OESTE;11;RO;RONDÔNIA;NORTE;CONSUELO;-12.65;-62.13333
1100015;ALTA FLORESTA D'OESTE;11;RO;RONDÔNIA;NORTE;ALTA FLORESTA D'OESTE;-11.92871;-61.99829
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;ARIQUEMES;-9.91333;-63.04083
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;IPIRANGA;-10.01667;-62.86667
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;SITIO SAO GERALDO;-10.03111;-62.98056
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;FAZENDA CAJAZEIRA;-10.09167;-62.96944
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;SAO JOSE;-10.15;-63.06667
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;SANTA ROSA;-10.13333;-62.7
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;TRIUNFO;-9.8;-62.63333
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;SANTO ANTONIO;-9.98333;-62.68333
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;ORIENTE VELHO;-9.75;-62.61667
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;LAJE;-9.8;-62.43333
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;FORTALEZA;-9.9;-62.46667
1100023;ARIQUEMES;11;RO;RONDÔNIA;NORTE;BOM JARDIM;-9.98333;-63.35
1100031;CABIXI;11;RO;RONDÔNIA;NORTE;BARRACAO JOFRE;-13.5;-60.55
1100031;CABIXI;11;RO;RONDÔNIA;NORTE;SARVUELA;-13.55;-60.6
1100031;CABIXI;11;RO;RONDÔNIA;NORTE;SANTA ISABEL;-13.66667;-60.73333
1100031;CABIXI;11;RO;RONDÔNIA;NORTE;SAO LUIS;-13.375;-60.41667
1100031;CABIXI;11;RO;RONDÔNIA;NORTE;SANTOS DUMONT;-13.45;-60.43333
1100031;CABIXI;11;RO;RONDÔNIA;NORTE;RIBERALTA;-13.58333;-60.66667
1100031;CABIXI;11;RO;RONDÔNIA;NORTE;CABIXI;-13.49778;-60.55417
1100049;CACOAL;11;RO;RONDÔNIA;NORTE;CACOAL;-11.43861;-61.44722
1100049;CACOAL;11;RO;RONDÔNIA;NORTE;VISTA ALEGRE;-11.5;-61.46667
1100049;CACOAL;11;RO;RONDÔNIA;NORTE;SAO PEDRO;-11.45;-61.58333
1100049;CACOAL;11;RO;RONDÔNIA;NORTE;PARAIBAO;-11.4;-61.76667
1100049;CACOAL;11;RO;RONDÔNIA;NORTE;CASTANHAL;-11.36667;-61.66667
1100049;CACOAL;11;RO;RONDÔNIA;NORTE;RIOZINHO;-11.50778;-61.35944
1100049;CACOAL;11;RO;RONDÔNIA;NORTE;POSTO INDIGENA SETE DE SETEMBRO;-11.22308;-61.25487
1100056;CEREJEIRAS;11;RO;RONDÔNIA;NORTE;CEREJEIRAS;-13.18889;-60.81222
1100056;CEREJEIRAS;11;RO;RONDÔNIA;NORTE;BARRANCO ALTO;-13.03333;-61.43333
1100064;COLORADO DO OESTE;11;RO;RONDÔNIA;NORTE;COLORADO DO OESTE;-13.11667;-60.54167
1100064;COLORADO DO OESTE;11;RO;RONDÔNIA;NORTE;ALASCA;-13.29722;-60.37083
1100072;CORUMBIARA;11;RO;RONDÔNIA;NORTE;CORUMBIARA;-12.96194;-60.88667
1100072;CORUMBIARA;11;RO;RONDÔNIA;NORTE;PORTO TRIUNFO;-12.9;-60.8
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;COSTA MARQUES;-12.445;-64.22722
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;PRINCIPE DA BEIRA;-12.42833;-64.42278
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;BARRACAO TRIUNFO;-11.95;-64.21667
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;TERRA FIRME;-12.03333;-64.28333
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;CONCEICAO;-12.23333;-64.46667
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;BARRACA TERRA FIRME;-11.98333;-64.25
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;BARRACAO;-11.95;-64.18333
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;PRIMEIRA TERRA;-12.19802;-64.46721
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;PORTO DO ACRE;-12.32193;-64.49344
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;FAZENDA BOM PASTOR;-12.36492;-64.49024
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;FAZENDA POLO NORTE;-12.37661;-64.4759
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;FAZENDA CONCEICAO;-12.40987;-64.43914
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;PORTO FRANCA;-12.45378;-64.29408
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;FAZENDA MONTE CRISTO;-12.48047;-64.09205
1100080;COSTA MARQUES;11;RO;RONDÔNIA;NORTE;FAZENDA ASSUNTO;-12.47524;-63.90426
1100098;ESPIGAO D'OESTE;11;RO;RONDÔNIA;NORTE;ESPIGAO DOESTE;-11.52472;-61.01278
1100098;ESPIGAO D'OESTE;11;RO;RONDÔNIA;NORTE;FAZENDA GOTARDE;-11.58201;-60.6485
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;GUAJARA MIRIM;-10.78356;-65.33552
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;BARRACAO BELO HORIZONTE;-11.88333;-64.16667
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;SURPRESA;-11.9;-64.98333
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;RENASCENCA;-12.16667;-64.53333
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;IATA;-10.58333;-65.38333
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;BOA HORA;-11.68333;-65.08333
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;RODRIGUES ALVES;-11.9;-65
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;PAU GRANDE;-10.48333;-65.4
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;MAMORE;-10.81667;-65.33333
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;LARANJEIRINHA;-10.88541;-65.23381
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;DOM PEDRITO;-11.43333;-65.31667
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;COIMBRA;-11.46667;-65.3
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;CACHOEIRINHA;-10.91667;-65.26667
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;BELA VISTA;-11.50454;-65.25131
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;SAO SEBASTAO;-11.03916;-65.28096
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;BOCA DOS PACAAS NOVOS;-10.85286;-65.26368
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;LARANJEIRA;-10.88595;-65.23411
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;POCAO;-10.98931;-65.22583
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;SAO CARLOS;-11.19882;-64.92212
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;CANTAGALO;-11.24079;-64.3978
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;FAZENDA SAO LUIS;-11.08579;-64.07963
1100106;GUAJARA-MIRIM;11;RO;RONDÔNIA;NORTE;RODRIGUES ALVES;-11.9;-65.0
1100114;JARU;11;RO;RONDÔNIA;NORTE;JARU;-10.43889;-62.46639
1100114;JARU;11;RO;RONDÔNIA;NORTE;SERINGAL SETENTA;-10.325;-62.62778
1100114;JARU;11;RO;RONDÔNIA;NORTE;BOM JARDIM;-10.33333;-62.33333
1100114;JARU;11;RO;RONDÔNIA;NORTE;BOM JESUS;-10.33056;-62.24167
1100114;JARU;11;RO;RONDÔNIA;NORTE;BONFIM;-10.31667;-62.33194
1100114;JARU;11;RO;RONDÔNIA;NORTE;BOM RETIRO;-10.49167;-62.425
1100114;JARU;11;RO;RONDÔNIA;NORTE;VALENTIM;-10.33611;-62.3
1100114;JARU;11;RO;RONDÔNIA;NORTE;SANTOS DUMONT;-10.41667;-62.41667
1100114;JARU;11;RO;RONDÔNIA;NORTE;FONTE BOA;-10.73333;-62.6
1100114;JARU;11;RO;RONDÔNIA;NORTE;CANARAMA;-10.66667;-62.65
1100114;JARU;11;RO;RONDÔNIA;NORTE;BOM LUGAR;-10.61667;-62.43333
1100122;JI-PARANA;11;RO;RONDÔNIA;NORTE;JI PARANA;-10.88528;-61.95167
1100122;JI-PARANA;11;RO;RONDÔNIA;NORTE;RONDONIA;-10.86667;-61.95
1100122;JI-PARANA;11;RO;RONDÔNIA;NORTE;CONCEICAO;-10.31667;-61.85
1100122;JI-PARANA;11;RO;RONDÔNIA;NORTE;SITIO URUOCA;-10.80222;-62.02222
1100122;JI-PARANA;11;RO;RONDÔNIA;NORTE;BOA VISTA;-10.8;-61.91667
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;MACHADINHO D'OESTE;-9.44389;-61.98139
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;TRES LAGOAS;-9.01667;-61.61667
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;MORENA;-9.6;-62.11667
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;DOIS DE NOVEMBRO;-8.85;-62.28333
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;BARRACA DA BARRA;-9.01667;-61.85
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;PRIMAVERA;-9.66667;-62.35
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;ORIENTE;-9.6;-62.33333
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;MILHO;-9.01667;-61.93333
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;FILADELFIA;-9.1;-61.66667
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;CUJUBIM;-9.2;-61.78333
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;TABAJARA;-8.93814;-62.05721
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;SAO PEDRO;-8.85;-62.28333
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;SAO JOSE;-9.35;-61.75
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;SAO JOAO;-8.91667;-61.6
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;SAO FELIX;-9.31667;-61.73333
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;SANTO ANTONIO;-9.66667;-62.15
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;RAMA-RAMA;-9.33333;-62.01667
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;MONTE SANTO;-9.58333;-62.11667
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;JATUARANA;-9.13333;-62.25
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;BOA VISTA;-9.23333;-62.16667
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;BELEM;-9.45;-62.28333
1100130;MACHADINHO D'OESTE;11;RO;RONDÔNIA;NORTE;ANGUSTURA;-8.9;-62.26667
1100148;NOVA BRASILANDIA D'OESTE;11;RO;RONDÔNIA;NORTE;NOVA BRASILANDIA D'OESTE;-11.71972;-62.31583
1100148;NOVA BRASILANDIA D'OESTE;11;RO;RONDÔNIA;NORTE;PAULO SALDANHA;-11.66667;-62.25
1100155;OURO PRETO DO OESTE;11;RO;RONDÔNIA;NORTE;OURO PRETO DO OESTE;-10.74806;-62.21583
1100155;OURO PRETO DO OESTE;11;RO;RONDÔNIA;NORTE;SITIO PARANA;-10.61944;-62.32778
1100155;OURO PRETO DO OESTE;11;RO;RONDÔNIA;NORTE;SITIO DEUS-E-PAI;-10.76833;-62.10333
1100155;OURO PRETO DO OESTE;11;RO;RONDÔNIA;NORTE;ONEIDE;-10.45;-62.03333
1100155;OURO PRETO DO OESTE;11;RO;RONDÔNIA;NORTE;BOA VISTA;-10.73333;-62.13333
1100155;OURO PRETO DO OESTE;11;RO;RONDÔNIA;NORTE;RONDOMINAS;-10.51573;-61.99747
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;PIMENTA BUENO;-11.6725;-61.19361
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;BARAO DE MELGACO;-11.85;-60.71667
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;SANTA PAULA;-12.1625;-60.71667
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;URUCU MACUA;-12.21667;-60.69028
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;SERRARIA;-12.22516;-60.68753
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;POSTO INDIGENA ROOSEVELT;-11.48801;-60.46824
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;MARCO RONDON;-12.01361;-60.85611
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;PRIMAVERA;-11.93101;-60.96321
1100189;PIMENTA BUENO;11;RO;RONDÔNIA;NORTE;FAZENDA SAO PAULO;-11.98181;-60.85451
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PORTO VELHO;-8.76194;-63.90389
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;TAQUARA;-9.93333;-65.31667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SANTO ANTONIO;-8.8;-63.93333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PAPAGAIOS;-8.16667;-63.08333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;MALOCA DOS INDIOS;-9.68333;-64.98333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;JIRAU;-9.43333;-64.68333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;FORTALEZA DO ABUNA;-9.77419;-65.5186
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;CAVALCANTI;-8.4;-63.4
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;ABUNA;-9.7;-65.36583
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;TRES IRMAOS;-9.6;-64.88333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;TEOTONIO;-8.91667;-64
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SAO LUCAS;-8.35;-63.41667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SAO CARLOS;-9.08333;-64.13333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SANTA EMILIA;-9.71667;-65.8
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;NAZARE;-9.36667;-64.38333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;MUTUMPARANA;-9.63333;-64.95
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;MUTUM;-8.55;-63.7
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;LUSITANIA;-9.13333;-64.18333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;FOZ DO JAMARI;-8.45;-63.48333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;CALDEIRAO;-9.31667;-64.58333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;BELMONTE;-8.65;-63.83333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;ALIANCA;-8.61667;-63.53333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;EXTREMA;-9.77136;-66.35583
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;TRIUNFO;-9.88333;-66.61667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SOBRAL;-8.5;-63.53333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SAO SEBASTIAO;-9.25;-64
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SAO RAFAEL;-8.63333;-62.45
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SAO LOURENCO;-9.5;-64.8
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SANTO ANTONIO DO RIO MADEIRA;-8.8;-63.93333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SANTA MARIA;-9.73333;-65.83333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SANTA LUZIA;-8.23333;-63.36667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;REALEZA;-9.5;-63.78333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PRIMOR;-9.75;-65.75
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PRIMOR;-8.43333;-63.48333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PIRAPETINGA;-9.46667;-64.16667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PERIQUITOS;-8.3;-63.4
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PEDRA CANGA;-9.01667;-64.08333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;NOVA ESPERANCA;-8.15;-63.03333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;LA PAZ;-9.75;-65.86667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;LAGO VERDE;-8.48333;-62.55
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;JACI PARANA;-9.26083;-64.40194
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;EL BORACH;-9.66667;-65.43333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;CUJUBIM;-8.96667;-64.05
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;CARACOL;-9.11667;-64.3
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;BOM FUTURO;-9.76667;-66.1
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;BOM FUTURO;-9.58333;-64.98333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;BOM COMERCIO;-9.75;-65.9
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;BOA HORA;-8.2;-63.33333
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;BELEM;-8.53333;-63.66667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;ASSUNCAO;-8.13333;-63.01667
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;CALAMA;-8.02778;-62.87583
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;SOCIALISTA/JARDIM SANTANA;-8.74763;-63.82602
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;ALPHAVILLE - NOVA ESPERANCA;-8.79664;-63.8148
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;APONIA;-8.7314;-63.85597
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;PORTO PARK;-8.78825;-63.82175
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;MOCAMBO;-8.76843;-63.90229
1100205;PORTO VELHO;11;RO;RONDÔNIA;NORTE;BAIXA DA UNIAO;-8.77015;-63.90807
