HORARIO_FUNCIONAMENTO;OPCOES_DE_SERVICO;URL
;;https://www.google.com/maps/search/Marcio+Pereira+de+Abreu+PARANAPANEMA+ME+SP+PARANAPANEMA+CENTRO
"segunda-feira
09:00–23:15
terça-feira
09:00–23:15
quarta-feira
09:00–23:15
quinta-feira
09:00–23:15
sexta-feira
09:00–23:15
sábado
11:30–23:15
domingo
17:30–23:15";"Opções de serviço
Retirada na porta
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/TOP+BURGER+SP+SAO+PAULO+PERDIZES
"segunda-feira
06:00–23:00
terça-feira
06:00–23:00
quarta-feira
06:00–23:00
quinta-feira
06:00–23:00
sexta-feira
06:00–23:00
sábado
06:00–19:00
domingo
Fechado";"Opções de serviço
Mesas externas
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/COQUEIRO+SP+SAO+PAULO+PINHEIROS
"segunda-feira
07:45–18:30
terça-feira
07:45–18:30
quarta-feira
07:45–18:30
quinta-feira
07:45–18:30
sexta-feira
07:30–18:30
sábado
07:45–11:45
domingo
Fechado";"Opções de serviço
Compras na loja";https://www.google.com/maps/search/ZANI+CONFECCOES+SC+SERRA+ALTA+CENTRO
"segunda-feira
07:00–21:00
terça-feira
07:00–21:00
quarta-feira
07:00–21:00
quinta-feira
07:00–21:00
sexta-feira
07:00–21:00
sábado
07:00–21:00
domingo
07:00–21:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+E+LANCHONETE+POINT+37A+LTDA+ME+SC+TREVISO+CENTRO
"segunda-feira
11:00–03:00
terça-feira
11:00–03:00
quarta-feira
11:00–03:00
quinta-feira
11:00–03:00
sexta-feira
11:00–03:00
sábado
11:00–03:00
domingo
Fechado";"Opções de serviço
Refeição no local";https://www.google.com/maps/search/MAEZONA+RESTAURANTE+II+GO+GOIANIA+SETOR+NORTE+FERROVIARIO
"segunda-feira
09:00–15:00
terça-feira
09:00–23:30
quarta-feira
09:00–23:30
quinta-feira
09:00–23:30
sexta-feira
09:00–23:30
sábado
09:00–23:30
domingo
Fechado";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/BAR+DO+CAMARAO+RJ+NOVA+FRIBURGO+CENTRO
"segunda-feira
11:30–23:00
terça-feira
11:30–23:00
quarta-feira
11:30–23:00
quinta-feira
11:30–23:00
sexta-feira
12:30–00:00
sábado
12:30–00:00
domingo
11:30–23:00";"Opções de serviço
Mesas externas
Retirada na porta
Para viagem
Refeição no local
Entrega";https://www.google.com/maps/search/CABANNA+RJ+RIO+DE+JANEIRO+COPACABANA
;;https://www.google.com/maps/search/RESTAURANTE+TUCANOS+GRILL+DF+BRASILIA+RIACHO+FUNDO
"segunda-feira
Fechado
terça-feira
Fechado
quarta-feira
Fechado
quinta-feira
12:00–00:00
sexta-feira
12:00–00:00
sábado
12:00–00:00
domingo
12:00–17:00";"Opções de serviço
Retirada na porta
Refeição no local";https://www.google.com/maps/search/Casa+do+Lago+Empório++&+Bistrô+RJ+VASSOURAS+PONTE+FUNDA
"segunda-feira
07:00–23:00
terça-feira
07:00–23:00
quarta-feira
07:00–23:00
quinta-feira
07:00–23:00
sexta-feira
07:00–23:00
sábado
07:00–23:00
domingo
17:00–23:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/BAR+E+RESTAURANTE+BEM+ESTAR+-+MALLMANN+RS+SANTA+MARIA+DO+HERVAL+CENTRO
"segunda-feira
16:30–23:30
terça-feira
Fechado
quarta-feira
16:20–23:40
quinta-feira
16:20–23:40
sexta-feira
16:20–23:40
sábado
15:00–23:40
domingo
15:00–23:30";"Opções de serviço
Entrega sem contato
Entrega
Retirada na loja
Compras na loja
Para viagem
Refeição no local";https://www.google.com/maps/search/SORVETERIA+PARAISO+SC+TIJUCAS+XV+DE+NOVEMBRO
;;https://www.google.com/maps/search/YUCATAN+SP+SAO+PAULO+VILA+OLIMPIA
"segunda-feira
Fechado
terça-feira
11:00–17:00
quarta-feira
11:00–17:00
quinta-feira
11:00–17:00
sexta-feira
11:00–17:00
sábado
11:00–17:00
domingo
11:00–17:00";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/O+CABOCLO+-+RESTAURANTE+BAR+PB+MATUREIA+CENTRO
"segunda-feira
06:00–00:00
terça-feira
06:00–00:00
quarta-feira
06:00–00:00
quinta-feira
06:00–00:00
sexta-feira
06:00–00:00
sábado
06:00–18:00
domingo
Fechado";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/COQUEIRO+II+SP+SAO+PAULO+PINHEIROS
"segunda-feira
Fechado
terça-feira
Fechado
quarta-feira
17:00–22:00
quinta-feira
17:00–22:00
sexta-feira
17:00–00:00
sábado
17:00–00:00
domingo
Fechado";"Opções de serviço
Mesas externas
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/O+GATO+DA+PRACA+PUB+RS+ESTRELA+CENTRO
;;https://www.google.com/maps/search/PASTELÃO+DOS+ARTISTAS+LTDA+SP+CAMPOS+DO+JORDAO+VILA+CAPIVARI
"segunda-feira
08:30–17:00
terça-feira
08:30–17:00
quarta-feira
08:30–17:00
quinta-feira
08:30–17:00
sexta-feira
08:30–17:00
sábado
08:30–17:00
domingo
08:30–17:00";"Opções de serviço
Mesas externas
Para viagem
Refeição no local
Entrega";https://www.google.com/maps/search/CHEGA+MAIS+BEACH+LOUNGE+E+RESTAURANTE+CE+ARACATI+CANOA+QUEBRADA
"segunda-feira
09:00–17:00
terça-feira
09:00–17:00
quarta-feira
09:00–17:00
quinta-feira
09:00–17:00
sexta-feira
09:00–17:00
sábado
09:00–17:00
domingo
09:00–17:00";"Opções de serviço
Mesas externas
Refeição no local";https://www.google.com/maps/search/Rangel´s+Defumados+Orgasmo+Gustativo+RJ+CACHOEIRAS+DE+MACACU+BOCA+DO+MATO
;;https://www.google.com/maps/search/Empreserra+alimentos+LTDA+RS+CANELA+CENTRO
;;https://www.google.com/maps/search/quiosque+poghisler+SC+NOVA+VENEZA+SAO+JOSE
;;https://www.google.com/maps/search/ACH+Hypolito+PR+PONTA+GROSSA+CENTRO
"segunda-feira
Fechado
terça-feira
Fechado
quarta-feira
20:00–03:00
quinta-feira
20:00–03:00
sexta-feira
20:00–03:00
sábado
20:00–03:00
domingo
Fechado";"Opções de serviço
Mesas externas
Refeição no local";https://www.google.com/maps/search/BAR+E+RESTAURANTE+1*+OPCAO+IV+TO+ARAGUAINA+SETOR+CENTRAL
;;https://www.google.com/maps/search/MADURODAM+SP+HOLAMBRA+CENTRO
"segunda-feira
11:00–14:30
terça-feira
11:00–14:30
quarta-feira
11:00–14:30
quinta-feira
11:00–14:30
sexta-feira
11:00–14:30
sábado
11:00–14:30
domingo
Fechado";"Opções de serviço
Para viagem
Refeição no local
Entrega";https://www.google.com/maps/search/AKILO+SC+SAO+JOSE+KOBRASOL
"segunda-feira
Fechado
terça-feira
18:00–23:30
quarta-feira
18:00–23:30
quinta-feira
18:00–23:30
sexta-feira
18:00–23:30
sábado
18:00–23:30
domingo
18:00–23:30";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/NHAC+TEMAKI+SC+JOINVILLE+ATIRADORES
;;https://www.google.com/maps/search/SIMPSONS+DF+BRASILIA+ASA+SUL
"segunda-feira
08:00–17:00
terça-feira
08:00–17:00
quarta-feira
08:00–17:00
quinta-feira
08:00–17:00
sexta-feira
08:00–17:00
sábado
08:00–17:00
domingo
08:00–17:00";"Opções de serviço
Mesas externas
Para viagem
Refeição no local";https://www.google.com/maps/search/Falésias+Restaurante++RN+PARNAMIRIM+COTOVELO+(DISTRITO+LITORAL)
;;https://www.google.com/maps/search/********+MG+BELO+HORIZONTE+BELVEDERE
"segunda-feira
07:30–15:00
terça-feira
07:30–15:00
quarta-feira
07:30–15:00
quinta-feira
07:30–15:00
sexta-feira
07:30–15:00
sábado
07:45–14:45
domingo
Fechado";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/Restaurante+Tibes+SC+MATOS+COSTA+CENTRO
"segunda-feira
Fechado
terça-feira
18:00–00:00
quarta-feira
18:00–00:00
quinta-feira
18:00–00:00
sexta-feira
18:00–00:00
sábado
18:00–00:00
domingo
18:00–00:00";"Da empresa
Se identifica como uma empresa de empreendedoras";https://www.google.com/maps/search/BETA+LANCHES+AL+RIO+LARGO+MATA+DO+ROLO
;;https://www.google.com/maps/search/CHOPP+CHAPLIN+SC+SAO+MIGUEL+DO+OESTE+CENTRO
;;https://www.google.com/maps/search/YOSHIMITSU+FOODS+MG+EXTREMA+LAVAPES
;;https://www.google.com/maps/search/Comercial+RRF+SP+SAO+PAULO+JARDIM+MARPU
;;https://www.google.com/maps/search/Democrático+PR+MARINGA+ZONA+07
"segunda-feira
18:00–23:00
terça-feira
18:00–23:00
quarta-feira
18:00–23:00
quinta-feira
18:00–23:00
sexta-feira
18:00–23:00
sábado
10:00–00:00
domingo
10:00–23:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/CATARINA+'+S+LANCHES+PR+PORTO+AMAZONAS+CENTRO
;"Opções de serviço
Mesas externas
Retirada na porta
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/CHURASCARIA+FOGO+DO+GALPÃO+DF+BRASILIA+AGUAS+CLARAS
;;https://www.google.com/maps/search/RESTAURANTE+NORDESTINO+RN+MOSSORO+NOVA+BETANIA
"segunda-feira
19:00–00:00
terça-feira
19:00–00:00
quarta-feira
19:00–00:00
quinta-feira
19:00–00:00
sexta-feira
19:00–00:00
sábado
19:00–00:00
domingo
Fechado";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+ALECRIN+SP+VOTUPORANGA+JARDIM+ELDORADO
;;https://www.google.com/maps/search/DAIZO+RESTAURANTE+E+SUSHIBAR+SP+BIRIGUI+CENTRO
;;https://www.google.com/maps/search/CANYONS+HOT+DOG+SC+SAO+JOAO+DO+SUL+CENTRO
"segunda-feira
Fechado
terça-feira
16:00–23:00
quarta-feira
16:00–23:00
quinta-feira
16:00–23:00
sexta-feira
16:00–23:30
sábado
15:30–23:30
domingo
15:30–23:00";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/CASA+VELHA+LANCHES+E+SORVETES+RS+NOVA+PRATA+CENTRO
"segunda-feira
Fechado
terça-feira
17:00–00:00
quarta-feira
17:00–00:00
quinta-feira
17:00–00:00
sexta-feira
17:00–00:00
sábado
17:00–00:00
domingo
17:00–00:00";"Opções de serviço
Mesas externas
Para viagem
Refeição no local";https://www.google.com/maps/search/POTENCIA+BAR+E+PETISCARIA+RN+ANGICOS+ALTO+DA+GRANJA
